June 2019 : US Category Changes,,,,,,,,,,
,,,,,,,,,,
Change Type,Count,,,,,,,,,
New,1216,,,,,,,,,
Retired,435,,,,,,,,,
Rename,137,,,,,,,,,
Move,67,,,,,,,,,
Move & Rename,46,,,,,,,,,
Total,1901,,,,,,,,,
,,,,,,,,,,
Category Name,,,,,,,,Category ID,Comments,Actions Required
+,Antiques,,,,,,,20081,,
+,Art,,,,,,,550,,
+,Baby,,,,,,,2984,,
-,Books,,,,,,,267,,
,+,Accessories,,,,,,45110,,
,,Antiquarian & Collectible,,,,,,29223,,
,,Audiobooks,,,,,,29792,,
,-,Catalogs,,,,,,118254,,
,-,Children & Young Adults,,,,,,182882,,
,,,Children's Fiction,,,,,171220,All listings are being moved into [Children & YA Fiction - 171219].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,Children's Picture Books,,,,,171276,All listings are being moved into [Children & YA Fiction - 171219].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,Children & YA Fiction,,,,,171219,New Category,
,,,Children & YA Non-Fiction,,,,,171210,,
,,,Young Adult Fiction,,,,,171222,All listings are being moved into [Children & YA Fiction - 171219].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,Other Children & Young Adults,,,,,279,All listings are being moved into [Children & YA Fiction - 171219].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,Cookbooks,,,,,,11104,All listings are being moved into [Nonfiction - 171243].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,Fiction & Literature,,,,,,171228,,
,,Magazines,,,,,,280,Renamed from [Magazine Back Issues],
,,Nonfiction,,,,,,171243,,
,,"Textbooks, Education",,,,,,2228,All listings are being moved into [School Textbooks & Study Guides - 171223].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,-,"Textbooks, Education & Reference",,,,,,184644,New Category,
,,,Adult Learning & University,,,,,1105,New Category,
,,,Dictionaries & Reference,,,,,171273,New Category,
,,,Language Courses,,,,,11442,New Category,
,,,Maps & Atlases,,,,,69496,New Category,
,,,School Textbooks & Study Guides,,,,,171223,New Category,
,+,Wholesale & Bulk Lots,,,,,,29399,,
,,Other Books,,,,,,268,This category is no longer open to new listings or listing updates.,Please select an alternative category for your listing.
-,Business & Industrial,,,,,,,12576,,
,+,"Adhesives, Sealants & Tapes",,,,,,109471,,
,+,Agriculture & Forestry,,,,,,11748,,
,+,"Automation, Motors & Drives",,,,,,42892,,
,+,Building Materials & Supplies,,,,,,41498,,
,+,Cleaning & Janitorial Supplies,,,,,,46534,,
,-,"CNC, Metalworking & Manufacturing",,,,,,11804,,
,,-,CNC & Metalworking Supplies,,,,,25257,This Category is being retired.,
,,,,Broaches,,,,166670,All listings are being moved into [Other Metalworking Supplies - 258221].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Carbide & Ceramic Inserts,,,,185127,All listings are being moved into [Indexable Inserts - 258376].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,End Mills,,,,25260,"All listings are being moved into [End Mills Accessories, Extensions & Storage - 258183].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,-,Equipment Specific Tooling,,,,104234,This Category is being retired.,
,,,,,Drilling & Tapping,,,104236,All listings are being moved into [Other Metalworking Equipment - 258086].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,EDM,,,104237,All listings are being moved into [Electrical Discharge Machines - 258068].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Fabrication,,,104238,All listings are being moved into [Other Metalworking Equipment - 258086].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Finishing,,,104239,All listings are being moved into [Finishing Machines - 258069].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Grinding,,,104240,All listings are being moved into [Grinding Machines - 258072].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Lathe,,,104241,All listings are being moved into [Metalworking Lathes - 258076].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Milling,,,104242,All listings are being moved into [Machining Centers & Milling Machines - 258084].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
